generations,population,infected_t10,infected_t25,infected_t50,infected_t60,infected_t75,infected_t100,recovered_t10,recovered_t25,recovered_t50,recovered_t60,recovered_t75,recovered_t100,beta,gamma
12,89,5,13,13,4,0,0,5,25,85,89,89,89,0.010275814921272188,0.010360910873864393
12,1401,2,291,186,58,3,1,2,327,1319,1377,1399,1401,0.4020064662048542,0.34144562895471464
12,1688,102,636,92,69,4,2,102,1022,1594,1663,1681,1688,0.28089261499817897,0.2472540613084661
11,87,1,1,0,8,0,0,1,2,2,10,87,87,0.01,1.0
12,708,79,30,34,93,69,41,79,198,272,365,540,708,0.030106570796583163,0.030738715858089478
12,214,60,37,9,1,0,0,60,138,212,213,214,214,0.12150155881259213,0.1216550850583538
12,10326,0,74,187,383,577,99,0,82,681,1064,1735,10326,1.5,0.1
12,20901,17,35,709,2868,5659,1039,17,104,927,3795,14701,20901,0.23558742362165788,0.20635536272168656
12,8427,1642,3095,71,67,97,1,1642,6963,8029,8096,8273,8427,0.23100448868082968,0.20904612990034666
12,661,165,96,31,26,26,0,165,400,543,569,617,661,0.09381738561716867,0.09764375942409816
12,165,0,23,39,5,0,0,0,23,160,165,165,165,1.5,0.1
12,1247,2,229,214,76,15,41,2,296,1051,1127,1177,1247,0.4012343950748141,0.3482804572478032
5,245,1,94,80,54,54,1,245,94,174,228,228,245,0.19861512155645328,0.18886131089723168
12,803,29,245,57,15,7,31,29,351,711,726,735,803,0.29202691239476736,0.255607404381704
12,436,61,71,16,15,14,53,61,181,305,320,337,436,0.014128060836739141,0.017399947794873503
12,430,30,87,27,26,14,5,30,188,347,373,394,430,0.23310816091755288,0.21203236407304393
12,99,15,34,20,4,0,0,15,65,94,98,99,99,0.1835063618366112,0.171502915856653
12,223,0,45,38,8,17,1,0,49,180,188,209,223,1.5,0.1
12,1645,27,425,32,16,9,25,27,661,1493,1509,1525,1645,0.3295585122961855,0.2833385148707659
12,691,86,208,17,1,17,23,86,421,628,629,649,691,0.23124849957960394,0.20896529873331326
12,1531,197,430,32,18,9,27,197,1038,1437,1455,1472,1531,0.24838561260398676,0.22274643552783174
12,456,104,37,5,6,0,0,104,262,444,450,456,456,0.1959944514148187,0.18088820728639862
10,1019,80,172,132,54,23,31,80,252,893,947,970,1019,0.28030288420170313,0.2465749958822683
12,1578,58,168,132,89,105,217,58,330,851,940,1137,1578,0.1105067423539819,0.10372935163941802
12,7290,692,2320,142,56,25,54,692,4894,7068,7124,7180,7290,0.26550083019627246,0.23411065409727208
8,2089,64,266,439,439,239,64,2089,443,1312,1312,1900,2089,0.19669990069692916,0.1789888097011796
12,106,0,0,0,2,2,60,0,0,1,3,6,106,1.5,0.1
12,1701,240,181,155,32,42,206,240,610,1087,1119,1239,1701,0.05448628398795312,0.05615353597685772
12,371,127,56,22,34,5,13,127,246,308,342,351,371,0.0925744074222585,0.10042981633461
12,222,37,7,3,17,40,18,37,46,50,67,127,222,0.8424352369423859,0.8033737769851733
12,1694,9,15,82,186,288,443,9,32,147,333,838,1694,0.17223563069121964,0.1582389645141137
12,2616,370,602,180,42,51,3,370,1576,2462,2504,2589,2616,0.21552902663469753,0.19696957004461865
8,685,22,71,78,78,149,22,685,125,257,257,577,685,0.14498615852153218,0.13345705746579922
12,56,2,0,4,5,1,10,2,2,8,13,25,56,0.014960096549071076,0.01
12,675,4,20,22,37,129,70,4,29,79,116,329,675,0.1572447241984705,0.14063837145322258
12,379,84,63,12,4,4,5,84,309,357,361,366,379,0.2802601975562834,0.25087951180036
12,666,0,0,3,0,29,309,0,2,5,5,38,666,1.5,0.1
4,1099,1,323,580,580,195,1,1099,323,903,903,1098,1099,0.273362554902661,0.2412761366569961
12,622,214,90,29,21,4,12,214,456,545,566,574,622,0.17344349931544237,0.17210011066049685
12,774,95,87,166,12,6,28,95,309,683,695,712,774,0.13873299471521938,0.13224364328783517
12,776,76,101,70,38,23,52,76,304,553,591,628,776,0.15260317238157053,0.14541453186448872
12,1872,596,292,141,53,9,42,596,1254,1694,1747,1771,1872,0.08585906461990775,0.09252308051182542
12,658,44,24,114,69,34,26,44,104,452,521,587,658,0.15460006579580435,0.1432039294208089
12,710,22,41,20,23,30,127,22,105,177,200,258,710,0.06559970274123186,0.059238630121338745
12,831,120,87,87,9,7,7,120,340,631,640,653,831,0.06442823403670128,0.06618829012619139
12,2849,165,290,219,202,199,136,165,824,1600,1802,2134,2849,0.10616239274388646,0.10101673088507654
12,1483,475,321,13,12,6,12,475,1210,1426,1438,1453,1483,0.1849615983196937,0.17750912697690582
12,783,113,54,48,56,30,106,113,215,386,442,576,783,0.01,0.01271702006723495
12,3061,208,600,218,170,65,233,208,1295,2145,2315,2441,3061,0.25194447220100485,0.23132905601867118
12,6175,610,1634,448,98,16,25,610,3401,5971,6069,6103,6175,0.2240406053168052,0.20190835690825945
12,869,94,155,55,35,23,38,94,428,685,720,762,869,0.20910617762231895,0.19452556111648406
8,1832,101,255,333,333,284,101,1832,358,1084,1084,1672,1832,0.2227032248742822,0.2003965483559518
12,418,0,0,0,0,0,418,0,0,0,0,0,418,1.5,0.1
12,196,16,128,0,0,0,0,16,190,195,195,195,196,0.2935175971370684,0.24715632820009273
10,113,7,14,19,12,25,1,7,21,67,79,104,113,0.17632455756974172,0.1584802409716175
11,149,8,15,3,1,1,10,8,23,81,82,86,149,0.3151430402195,0.2869482851034946
8,4220,1,205,994,994,695,1,4220,405,1879,1879,3636,4220,0.1991738183901403,0.17800341395593403
12,67,2,6,4,11,5,3,2,12,36,47,52,67,0.19091661104441457,0.17568296919249188
12,431,151,13,28,11,26,19,151,301,345,356,400,431,0.294301616227874,0.2754726593912226
12,221,22,28,17,15,9,24,22,71,130,145,171,221,0.02057480189364251,0.021501775144426274
12,123,15,8,7,22,1,9,15,59,74,96,98,123,0.4069253120059584,0.36902723687287664
12,191,7,38,38,9,0,4,7,73,162,171,171,191,0.24996137291613751,0.2251393979064248
12,74,2,38,1,2,3,5,2,45,50,52,56,74,0.38200561896890406,0.3261650018215483
12,1815,2,48,222,149,147,418,2,95,347,496,713,1815,0.08595427762648547,0.06914391654124151
10,3431,684,1674,43,1,4,17,684,2358,3388,3389,3393,3431,0.28891687298707724,0.25136880728895405
12,285,32,74,12,4,28,3,32,155,202,206,268,285,0.25396797957557654,0.2337432370213292
12,157,4,71,7,7,9,5,4,87,110,117,132,157,0.3882422751547257,0.33412326377424584
12,1534,47,515,57,19,98,1,47,626,1219,1238,1431,1534,0.31408753904887204,0.27221752484773865
12,118,17,26,1,3,1,2,17,64,94,97,100,118,0.20441138526527824,0.19098420652940637
9,422,1,101,65,22,7,1,422,177,348,370,377,422,0.2061411066389445,0.19110803980918348
6,157,10,39,24,24,16,10,157,39,120,120,136,157,0.22406214718109396,0.20790754999919747
12,217,19,28,15,37,14,7,19,69,126,163,180,217,0.010025603865696169,0.01071082259429597
7,1259,2,216,210,60,31,2,1259,216,1151,1211,1242,1259,0.32740802605105535,0.2792047038639198
12,418,24,134,24,17,15,7,24,206,352,369,398,418,0.26933723433894763,0.23987861158760287
11,168,19,33,25,22,1,10,19,52,110,132,142,168,0.13656948677133032,0.13076733240865993
12,1035,14,2,183,97,78,13,14,18,547,644,808,1035,0.22468506090958043,0.2019372422186083
12,1925,479,206,32,18,29,123,479,1481,1589,1607,1668,1925,0.30412471149863435,0.2741364830069957
7,2170,1,272,986,208,43,1,2170,272,1911,2119,2162,2170,0.2707267024856057,0.23510640533514313
12,793,82,91,105,53,31,19,82,299,593,646,717,793,0.14102149105769896,0.13422692480763443
12,316,27,77,5,13,20,26,27,157,193,206,235,316,0.01,0.010769224123498355
12,1471,189,233,138,38,67,76,189,619,1079,1117,1243,1471,0.1135832482129798,0.11105697369078443
12,1158,213,216,58,32,16,6,213,692,1039,1071,1106,1158,0.1770522724085816,0.16769339669474262
8,371,3,85,68,68,32,3,371,129,264,264,366,371,0.1962842007024462,0.1799506420596741
12,6091,283,334,690,651,338,743,283,830,2775,3426,4331,6091,0.09633015236105931,0.09051160347551492
12,27825,1655,4111,2759,2284,1003,637,1655,8361,20665,22949,25750,27825,0.19630557018493244,0.17989777803161575
12,52485,2134,8400,6427,4039,1033,1525,2134,15044,41270,45309,48969,52485,0.22990886559611512,0.2069967768390585
12,42874,2716,6122,4921,3266,1011,1819,2716,13437,33719,36985,39852,42874,0.06768531165586902,0.06597994529892755
12,25584,1784,5102,2622,1695,359,763,1784,9572,21419,23114,24339,25584,0.21132369417069544,0.19195432683046498
12,5993,547,1090,500,404,238,257,547,2284,4420,4824,5354,5993,0.16991935932788585,0.15918281214046082
12,3975,369,557,416,285,126,147,369,1343,2943,3228,3534,3975,0.15481532901354916,0.1456746080460005
12,3098,131,230,352,312,178,223,131,502,1791,2103,2544,3098,0.012362885140449888,0.010001527539996941
12,867,152,46,61,91,66,52,152,250,422,513,657,867,0.01,0.014136858614999706
12,656,40,57,47,53,69,57,40,127,287,340,460,656,0.05228221194997443,0.04965915320863265
11,522,27,31,78,57,53,42,27,58,213,270,374,522,0.11316901956705339,0.10592408065792945
12,651,10,47,72,63,55,71,10,93,277,340,469,651,0.1674592213893926,0.15391675055232917
12,1272,27,69,166,131,83,184,27,117,560,691,867,1272,0.1407873434731962,0.12997719569984498
7,1490,100,374,248,206,183,100,1490,374,892,1098,1281,1490,0.05999796591298875,0.06415527637788576
12,202,0,5,11,20,40,20,0,5,37,57,121,202,1.5,0.1
12,244,35,29,22,30,10,7,35,88,154,184,211,244,0.04169158190541354,0.044036994692816155
12,64,0,1,16,14,1,0,0,2,42,56,63,64,1.5,0.1
12,269,30,38,12,37,6,4,30,136,181,218,247,269,0.13361733320855368,0.12883254907897287
12,124,14,29,18,0,7,4,14,62,103,103,115,124,0.1826948596906217,0.17122207459030173
12,74,4,15,3,18,0,2,4,22,27,45,72,74,0.1368962376060834,0.12723783814015843
12,1363,165,385,24,9,2,7,165,788,1324,1333,1347,1363,0.219827700820189,0.1974317651809833
11,304,14,28,68,42,9,7,14,42,165,207,273,304,0.18227129034326905,0.16615983380635035
12,56,9,15,2,0,3,3,9,32,44,44,47,56,0.1609902667720945,0.15507611401956425
12,68,1,1,3,16,4,17,1,5,15,31,36,68,0.01,1.0
12,70,7,1,1,6,8,7,7,12,19,25,37,70,0.01023984208816761,0.01
12,173,2,9,0,8,8,68,2,15,36,44,58,173,0.019406811102792982,0.01
12,340,47,64,21,20,13,5,47,160,255,275,316,340,0.1229496780603941,0.11945400047037073
12,392,4,48,43,31,18,9,4,77,289,320,355,392,0.3292637141692425,0.2895343172635767
12,182,23,12,8,29,23,9,23,58,84,113,155,182,0.04144975393210677,0.042641168664237596
7,450,0,22,91,149,66,0,450,22,226,375,441,450,0.2713737338754821,0.23710020851954028
6,218,8,51,55,55,37,8,218,51,144,144,181,218,0.10324007025751589,0.1021818393500193
8,52,1,6,10,10,14,1,52,7,21,21,39,52,0.01,1.0
12,223,1,66,25,12,0,1,1,119,208,220,222,223,0.01,1.0
12,149,0,35,3,1,0,4,0,38,135,136,136,149,1.5,0.1
12,217,16,38,10,3,6,27,16,76,149,152,164,217,0.2294651872042378,0.21168977394250618
10,577,68,167,34,23,9,3,68,235,537,560,569,577,0.2639254198904583,0.23395728832598459
12,156,17,29,5,3,1,5,17,84,143,146,147,156,0.2224691462257947,0.20270755224924014
12,54,3,8,3,4,8,2,3,15,24,28,41,54,0.08901469621233911,0.0843666348115301
12,164,1,16,6,8,10,24,1,25,63,71,85,164,0.01,1.0
12,749,127,27,53,143,155,25,127,188,290,433,681,749,0.01,0.013589646154163679
12,392,22,36,76,25,24,34,22,100,238,263,304,392,0.12517198740635146,0.11815574237885985
12,588,42,128,48,46,30,15,42,267,417,463,522,588,0.19365652512220194,0.1804679968506954
12,1482,44,182,163,145,184,2,44,342,792,937,1276,1482,0.17182041568232206,0.15346679505828875
12,1575,316,338,45,74,66,14,316,1047,1272,1346,1477,1575,0.2175090595790381,0.2046919465044835
12,1338,156,152,77,103,64,203,156,439,728,831,950,1338,0.0224866031284693,0.023958759145874246
12,6629,798,1692,216,155,134,58,798,3508,5907,6062,6377,6629,0.21030756348511404,0.19209904382918871
8,796,7,181,109,109,43,7,796,333,605,605,741,796,0.16525610569704235,0.15695858971275342
