generations,population,infected_t25,infected_t75,infected_t10,infected_t60,infected_t50,infected_t100,recovered_t25,recovered_t75,recovered_t10,recovered_t60,recovered_t50,recovered_t100,beta,gamma
8.200000000000000000e+01,1.309500000000000000e+04,5.960000000000000000e+02,0.000000000000000000e+00,3.444000000000000000e+03,0.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,1.124700000000000000e+04,1.198000000000000000e+04,3.894000000000000000e+03,1.216100000000000000e+04,1.199400000000000000e+04,1.176000000000000000e+04,6.506505962923341269e-01,2.623017531253880041e-01
1.390000000000000000e+02,1.019400000000000000e+04,2.800000000000000000e+02,0.000000000000000000e+00,3.651000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.423000000000000000e+03,9.701000000000000000e+03,3.322000000000000000e+03,9.734000000000000000e+03,9.794000000000000000e+03,9.539000000000000000e+03,5.061485163947251342e-01,1.630278640865008011e-01
4.470000000000000000e+02,8.255000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.073000000000000000e+03,7.472000000000000000e+03,7.856000000000000000e+03,7.863000000000000000e+03,7.695000000000000000e+03,8.174000000000000000e+03,9.499999999999999556e-01,3.020977587124675789e-01
3.160000000000000000e+02,4.891000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.320000000000000000e+03,4.718000000000000000e+03,4.513000000000000000e+03,4.468000000000000000e+03,4.613000000000000000e+03,4.840000000000000000e+03,9.499999999999999556e-01,3.612026605865102380e-01
7.500000000000000000e+01,2.605000000000000000e+03,5.900000000000000000e+02,1.000000000000000000e+00,3.160000000000000000e+02,1.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00,1.053000000000000000e+03,2.220000000000000000e+03,2.340000000000000000e+02,2.431000000000000000e+03,2.182000000000000000e+03,2.132000000000000000e+03,5.058257191579489387e-01,2.252524857625111121e-01
1.690000000000000000e+02,7.389000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+02,5.390000000000000000e+02,3.830000000000000000e+02,1.940000000000000000e+02,6.600000000000000000e+01,2.440000000000000000e+02,1.313929362542783641e-01,4.426072718826871699e-01
2.240000000000000000e+02,8.475000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.223000000000000000e+03,1.267000000000000000e+03,7.130000000000000000e+02,7.700000000000000000e+02,6.340000000000000000e+02,3.600000000000000000e+02,1.428979245378213248e-01,4.139893073313348215e-01
3.500000000000000000e+02,1.376500000000000000e+04,6.380000000000000000e+02,0.000000000000000000e+00,1.187000000000000000e+03,1.700000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,8.795000000000000000e+03,9.695000000000000000e+03,1.741000000000000000e+03,9.628000000000000000e+03,8.664000000000000000e+03,1.041900000000000000e+04,1.671093571834235125e-01,9.267900143207688513e-02
2.810000000000000000e+02,1.013700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.012800000000000000e+04,1.013700000000000000e+04,1.001400000000000000e+04,1.013700000000000000e+04,1.013700000000000000e+04,1.013700000000000000e+04,9.499999999999999556e-01,1.817749934934889122e-01
1.810000000000000000e+02,1.277800000000000000e+04,2.000000000000000000e+00,0.000000000000000000e+00,1.310000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.038000000000000000e+03,1.529000000000000000e+03,1.018000000000000000e+03,1.405000000000000000e+03,1.623000000000000000e+03,9.320000000000000000e+02,2.513863600913497365e-01,2.849001133266876318e-01
4.470000000000000000e+02,1.949300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080200000000000000e+04,1.040600000000000000e+04,1.076500000000000000e+04,9.392000000000000000e+03,1.286700000000000000e+04,9.030000000000000000e+03,5.863946142543864370e-01,4.614740180519305568e-01
3.300000000000000000e+02,6.336000000000000000e+03,1.730000000000000000e+02,0.000000000000000000e+00,2.601000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.048000000000000000e+03,6.079000000000000000e+03,2.581000000000000000e+03,6.232000000000000000e+03,6.195000000000000000e+03,6.254000000000000000e+03,2.660772101972201931e-01,6.920447612947296101e-02
3.250000000000000000e+02,1.364800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.249900000000000000e+04,1.204000000000000000e+04,1.225800000000000000e+04,1.139400000000000000e+04,1.216300000000000000e+04,1.267600000000000000e+04,9.499999999999999556e-01,4.225865819240941512e-01
7.900000000000000000e+01,1.068100000000000000e+04,1.770000000000000000e+02,0.000000000000000000e+00,3.602000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.959000000000000000e+03,1.030800000000000000e+04,4.778000000000000000e+03,1.028900000000000000e+04,1.022300000000000000e+04,1.012200000000000000e+04,8.480944860571927313e-01,2.959834483072280031e-01
3.200000000000000000e+02,8.195000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,1.008000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.091000000000000000e+03,8.195000000000000000e+03,7.111000000000000000e+03,8.195000000000000000e+03,8.134000000000000000e+03,8.115000000000000000e+03,4.327050628396075793e-01,9.104751695161929226e-02
3.270000000000000000e+02,9.396000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.835000000000000000e+03,7.755000000000000000e+03,6.423000000000000000e+03,6.928000000000000000e+03,6.647000000000000000e+03,6.447000000000000000e+03,4.261191870936549830e-01,2.660826943537869527e-01
3.620000000000000000e+02,2.940000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.834000000000000000e+03,2.930000000000000000e+03,2.632000000000000000e+03,2.940000000000000000e+03,2.591000000000000000e+03,2.399000000000000000e+03,9.499999999999999556e-01,3.526835883616120659e-01
