sample_idx,beta_true,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_covered,gamma_true,gamma_mean,gamma_std,gamma_ci_low,gamma_ci_high,gamma_covered,r0_true,r0_mean,r0_std,r0_ci_low,r0_ci_high,r0_covered
233,0.8305242,0.8160448976755142,0.01170317169953786,0.7876740515232086,0.8336243912577629,True,0.8372109,0.8159799345731735,0.012526388156477561,0.7886260494589805,0.8336429491639137,False,0.99201316,1.0001809229850769,0.013123461014431386,0.9725464731454849,1.0289068669080734,True
39,0.7107187,0.6373976986408234,0.013728984688095953,0.6107886269688606,0.6663986846804619,False,0.6993759,0.6374782439470291,0.0140673415803032,0.6114829033613205,0.6655750140547753,False,1.0162184,0.9999525666236877,0.011591447523978646,0.977048596739769,1.021839827299118,True
153,0.01,0.5919582123756408,0.008182038688036875,0.5761122733354569,0.6076336458325386,False,0.012102912,0.5918929660320282,0.008151411688810095,0.5763792797923089,0.6089068979024888,False,0.8262474,1.0001179844141006,0.004143286125216835,0.9939347341656685,1.0060039013624191,False
55,0.5123542,0.5741063532829285,0.00827781857836565,0.5585022285580635,0.5911650016903878,False,0.5130407,0.5740750331878662,0.008026556695400476,0.5589656293392181,0.590210884809494,False,0.9986619,1.0000707569122314,0.006692708029514897,0.9870419681072236,1.012422451376915,True
155,0.012873792,0.576493497133255,0.00808453362697765,0.561868603527546,0.593260857462883,False,0.01,0.5764558992385864,0.007853822423095206,0.5620375916361808,0.592959676682949,False,1.2873793,1.0000781691074372,0.0060778632064878045,0.9885830193758011,1.0109959155321122,False
278,0.5045149,0.5679618453979492,0.009178144270519804,0.5495934516191483,0.5861843451857567,False,0.50757265,0.5679435033798218,0.008912286708925814,0.5504316076636314,0.5849362641572953,False,0.9939757,1.0000603721141814,0.008425791703660824,0.9837785705924034,1.0164777249097825,True
0,0.50673187,0.6673033192157746,0.017961606712736746,0.6344505399465561,0.7040168106555938,False,0.51119673,0.6675113207101822,0.018561525157827496,0.6327647060155869,0.7040260091423989,False,0.99126583,0.9998560265302658,0.016881555297489685,0.9651405349373817,1.0309273332357407,True
231,0.8300668,0.836178053021431,0.002039795529730927,0.8301626458764076,0.8380448028445244,False,0.83730376,0.8360300804376603,0.0023282551822050614,0.8305604040622712,0.8379557266831398,True,0.99135685,1.0001810649633407,0.0025178197293358752,0.9947291448712349,1.0060692369937896,False
335,0.51069176,0.5687567709684372,0.009120446668062504,0.5505309417843819,0.5871413588523865,False,0.5000693,0.5687372502088547,0.00886013721691245,0.5515294596552849,0.5858002662658691,False,1.0212419,1.0000604375600814,0.008162881618358243,0.9847995936870575,1.0158368080854416,False
101,0.7598202,0.5745667774677277,0.00817195638708566,0.5593175381422043,0.5913473412394523,False,0.77120316,0.5745434005260468,0.007911776713570868,0.5599630922079086,0.590863561630249,False,0.98524004,1.0000563338994979,0.006629415930653811,0.9874084964394569,1.0122634172439575,False
9,0.5080647,0.5678964239358902,0.009180137320074092,0.5494726911187172,0.5861431255936622,False,0.509318,0.5678801078796387,0.008911914987547224,0.5503556221723557,0.5848599299788475,False,0.9975392,1.0000569404363633,0.008449773511302364,0.9837972357869148,1.0165528804063797,True
180,0.5064461,0.5678543521165847,0.00922275021297577,0.5493630796670914,0.5861238047480583,False,0.50420576,0.5678347684144974,0.008961117539576124,0.5502353370189667,0.584857514500618,False,1.0044433,1.0000628323554992,0.00844780205847999,0.9837362572550774,1.016595071554184,True
