generations,population,infected_t25,infected_t75,infected_t10,infected_t60,infected_t50,infected_t100,beta,gamma
4.870000000000000000e+02,1.770500000000000000e+04,1.167200000000000000e+04,1.155900000000000000e+04,1.177900000000000000e+04,1.166400000000000000e+04,1.166300000000000000e+04,1.172100000000000000e+04,8.056055596040478939e-01,2.754028185345221980e-01
2.810000000000000000e+02,3.628000000000000000e+03,2.101000000000000000e+03,2.090000000000000000e+03,2.066000000000000000e+03,2.046000000000000000e+03,2.082000000000000000e+03,2.105000000000000000e+03,9.499999999999999556e-01,4.072931344837183443e-01
3.150000000000000000e+02,9.075000000000000000e+03,5.372000000000000000e+03,5.364000000000000000e+03,5.224000000000000000e+03,5.359000000000000000e+03,5.330000000000000000e+03,5.318000000000000000e+03,5.109673268662883183e-01,2.124280138902971682e-01
4.290000000000000000e+02,1.696600000000000000e+04,9.985000000000000000e+03,9.931000000000000000e+03,1.007200000000000000e+04,9.963000000000000000e+03,9.968000000000000000e+03,1.007800000000000000e+04,9.499999999999999556e-01,3.905239895212617718e-01
1.870000000000000000e+02,1.156100000000000000e+04,6.164000000000000000e+03,6.086000000000000000e+03,4.297000000000000000e+03,6.127000000000000000e+03,6.166000000000000000e+03,6.019000000000000000e+03,2.536702723238786761e-01,1.199005843659057130e-01
5.900000000000000000e+01,4.090000000000000000e+03,2.582000000000000000e+03,2.591000000000000000e+03,1.722000000000000000e+03,2.477000000000000000e+03,2.555000000000000000e+03,2.584000000000000000e+03,9.499999999999999556e-01,3.611935973053064242e-01
4.990000000000000000e+02,1.526400000000000000e+04,3.737000000000000000e+03,4.170000000000000000e+03,2.326000000000000000e+03,4.059000000000000000e+03,3.756000000000000000e+03,3.505000000000000000e+03,2.341810012872529434e-01,1.749162813785277992e-01
2.010000000000000000e+02,1.226800000000000000e+04,7.353000000000000000e+03,7.480000000000000000e+03,7.467000000000000000e+03,7.436000000000000000e+03,7.402000000000000000e+03,7.513000000000000000e+03,9.499999999999999556e-01,3.733067034461389766e-01
2.850000000000000000e+02,4.932000000000000000e+03,3.426000000000000000e+03,3.376000000000000000e+03,3.399000000000000000e+03,3.421000000000000000e+03,3.486000000000000000e+03,3.359000000000000000e+03,4.604289869491439147e-01,1.442905688577597045e-01
1.780000000000000000e+02,9.850000000000000000e+03,7.750000000000000000e+03,7.660000000000000000e+03,7.676000000000000000e+03,7.657000000000000000e+03,7.706000000000000000e+03,7.681000000000000000e+03,7.177880489050509905e-01,1.554724852674466140e-01
3.090000000000000000e+02,9.442000000000000000e+03,6.926000000000000000e+03,7.070000000000000000e+03,7.040000000000000000e+03,7.008000000000000000e+03,7.026000000000000000e+03,7.059000000000000000e+03,5.966413524671839719e-01,1.543013979291642801e-01
3.890000000000000000e+02,1.162800000000000000e+04,8.446000000000000000e+03,8.610000000000000000e+03,8.534000000000000000e+03,8.417000000000000000e+03,8.437000000000000000e+03,8.464000000000000000e+03,2.413238778631498771e-01,6.531767627699268386e-02
4.840000000000000000e+02,1.143500000000000000e+04,4.830000000000000000e+03,4.840000000000000000e+03,4.861000000000000000e+03,4.818000000000000000e+03,4.877000000000000000e+03,4.821000000000000000e+03,8.422145022744290666e-01,4.879456888811549709e-01
1.310000000000000000e+02,9.482000000000000000e+03,4.000000000000000000e+00,0.000000000000000000e+00,5.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.465732409078641718e-01,3.741539156676540467e-01
3.020000000000000000e+02,1.252400000000000000e+04,7.904000000000000000e+03,7.905000000000000000e+03,7.894000000000000000e+03,7.905000000000000000e+03,7.834000000000000000e+03,7.860000000000000000e+03,9.499999999999999556e-01,3.561568236348809924e-01
2.440000000000000000e+02,1.316600000000000000e+04,1.064600000000000000e+04,1.063900000000000000e+04,1.063500000000000000e+04,1.065700000000000000e+04,1.064200000000000000e+04,1.064800000000000000e+04,7.926575052691676726e-01,1.534991852268719759e-01
3.400000000000000000e+02,7.260000000000000000e+02,3.910000000000000000e+02,3.820000000000000000e+02,3.930000000000000000e+02,3.780000000000000000e+02,3.810000000000000000e+02,3.900000000000000000e+02,9.499999999999999556e-01,4.464664334292866021e-01
4.190000000000000000e+02,1.841900000000000000e+04,1.355400000000000000e+04,1.368700000000000000e+04,1.358700000000000000e+04,1.360000000000000000e+04,1.364800000000000000e+04,1.361800000000000000e+04,9.499999999999999556e-01,2.484544939461525437e-01
2.840000000000000000e+02,1.515100000000000000e+04,1.012800000000000000e+04,1.033700000000000000e+04,1.030900000000000000e+04,1.027000000000000000e+04,1.031300000000000000e+04,1.026000000000000000e+04,5.413242576979079290e-01,1.743874334045993901e-01
4.750000000000000000e+02,6.521000000000000000e+03,3.046000000000000000e+03,2.951000000000000000e+03,3.090000000000000000e+03,2.937000000000000000e+03,3.101000000000000000e+03,2.859000000000000000e+03,5.811537937621331640e-01,3.150733928436345033e-01
2.600000000000000000e+02,1.507600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.319758740517754880e-02,2.157679417494806351e-01
