rep,true_beta,true_gamma,pop,gens,i0,i25,i75,i10,i60,i50,i100,beta_hat,gamma_hat,r0_hat
60,0.506034,0.503949,1020,12,51,41,62,57,38,47,35,0.05406065285205841,0.06265151500701904,0.8628786206686595
61,0.506034,0.503949,1020,12,51,37,30,51,45,37,34,0.04583369195461273,0.05956096202135086,0.7695257161592302
62,0.506034,0.503949,1020,12,51,37,26,55,60,69,33,0.05377432703971863,0.06232910603284836,0.8627482481680191
63,0.506034,0.503949,1020,12,51,47,19,53,56,28,21,0.046657659113407135,0.05983244627714157,0.7798053065938616
64,0.506034,0.503949,1020,12,51,64,15,58,30,58,54,0.04800277575850487,0.06026030331850052,0.7965903441406598
65,0.506034,0.503949,1020,12,51,51,50,57,32,65,10,0.0535983145236969,0.062080759555101395,0.8633643484359163
66,0.506034,0.503949,1020,12,51,41,22,45,36,40,38,0.04255986213684082,0.058289334177970886,0.7301483665415643
67,0.506034,0.503949,1020,12,51,39,29,40,44,32,36,0.043316520750522614,0.05857445299625397,0.7395121684412973
68,0.506034,0.503949,1020,12,51,53,34,43,38,55,25,0.048053912818431854,0.060051701962947845,0.8002090073663745
69,0.506034,0.503949,1020,12,51,45,35,57,23,38,21,0.045363135635852814,0.05941448360681534,0.7635029858384443
70,0.506034,0.503949,1020,12,51,44,40,51,61,37,10,0.05228760838508606,0.061810582876205444,0.8459329446837276
71,0.506034,0.503949,1020,12,51,44,31,43,40,55,21,0.04646800830960274,0.05949692055583,0.7810153513071092
72,0.506034,0.503949,1020,12,51,58,26,43,24,65,12,0.045195918530225754,0.058863215148448944,0.767812604463497
73,0.506034,0.503949,1020,12,51,59,42,56,56,28,52,0.055020201951265335,0.06314016133546829,0.8713978676573058
74,0.506034,0.503949,1020,12,51,48,39,54,32,55,55,0.0496315099298954,0.060946010053157806,0.8143520779556567
75,0.506034,0.503949,1020,12,51,30,38,59,49,53,55,0.051357269287109375,0.061782218515872955,0.831262951069243
76,0.506034,0.503949,1020,12,51,43,10,43,32,47,56,0.04096057638525963,0.057746097445487976,0.7093219836011638
77,0.506034,0.503949,1020,12,51,50,71,49,36,50,20,0.055609382688999176,0.06295984238386154,0.8832516185468325
78,0.506034,0.503949,1020,12,51,47,41,52,32,53,4,0.04813696816563606,0.060088660567998886,0.8010990378319753
79,0.506034,0.503949,1020,12,51,38,81,48,55,37,36,0.05966995283961296,0.06470930576324463,0.9221232114269713
80,0.506034,0.503949,1020,12,51,65,22,48,41,46,30,0.04813626408576965,0.06016301363706589,0.8000972886124398
81,0.506034,0.503949,1020,12,51,68,47,59,26,44,26,0.05235116556286812,0.06183866411447525,0.8465765926954057
82,0.506034,0.503949,1020,12,51,60,41,47,49,48,49,0.05401955917477608,0.06242722272872925,0.8653205574996061
83,0.506034,0.503949,1020,12,51,40,65,51,39,39,34,0.05229568108916283,0.06197265535593033,0.8438509014792202
84,0.506034,0.503949,1020,12,51,40,38,37,50,78,29,0.05171624943614006,0.06123955175280571,0.8444909859055372
85,0.506034,0.503949,1020,12,51,31,26,64,44,30,72,0.04629388451576233,0.06015630066394806,0.769560029536631
86,0.506034,0.503949,1020,12,51,44,15,43,49,51,7,0.044716931879520416,0.058823615312576294,0.7601867318406743
87,0.506034,0.503949,1020,12,51,51,20,50,59,31,40,0.04835796356201172,0.06051052361726761,0.7991661726128582
88,0.506034,0.503949,1020,12,51,29,14,47,78,37,30,0.04811073839664459,0.060404133051633835,0.7964809023170522
89,0.506034,0.503949,1020,12,51,40,43,51,32,66,18,0.04924079030752182,0.06050514429807663,0.8138281608740352
90,0.506034,0.503949,1020,12,51,43,20,37,31,44,16,0.04040694236755371,0.05733745917677879,0.7047215371538158
91,0.506034,0.503949,1020,12,51,54,31,52,32,41,41,0.04650109261274338,0.059743888676166534,0.7783405741262692
92,0.506034,0.503949,1020,12,51,54,23,47,48,37,39,0.04707736521959305,0.05993436649441719,0.7854819859316982
93,0.506034,0.503949,1020,12,51,50,50,49,42,32,84,0.051416296511888504,0.06182984262704849,0.8315773472371024
94,0.506034,0.503949,1020,12,51,64,42,47,33,51,20,0.050430938601493835,0.06090410798788071,0.8280383748749605
95,0.506034,0.503949,1020,12,51,49,20,59,45,28,40,0.04710192233324051,0.06022299453616142,0.7821252114083724
96,0.506034,0.503949,1020,12,51,43,27,51,61,38,67,0.05084845796227455,0.06155238300561905,0.8261005582453672
97,0.506034,0.503949,1020,12,51,30,59,40,30,60,24,0.047623418271541595,0.05993644520640373,0.7945652783968145
98,0.506034,0.503949,1020,12,51,57,45,40,38,75,26,0.05327415093779564,0.06176360696554184,0.8625492187902416
99,0.506034,0.503949,1020,12,51,43,48,51,46,39,26,0.050692036747932434,0.06129399687051773,0.8270310199385151
