sample_idx,beta_true,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_covered,gamma_true,gamma_mean,gamma_std,gamma_ci_low,gamma_ci_high,gamma_covered,r0_true,r0_mean,r0_std,r0_ci_low,r0_ci_high,r0_covered
233,0.8305242,0.8173030138015747,0.013331721678595976,0.7915431559085846,0.8326243594288826,True,0.8372109,0.8157862991094589,0.01225844856737388,0.792333447933197,0.8322231620550156,False,0.99201316,1.0019578039646149,0.015798258757269385,0.9740880653262138,1.0298916012048722,True
39,0.7107187,0.6390035182237626,0.01501295573897959,0.6108633577823639,0.6641205623745918,False,0.6993759,0.6369619786739349,0.013783288826277442,0.6148868843913078,0.660478962957859,False,1.0162184,1.0032526791095733,0.013645957142220893,0.9792485699057579,1.0258261024951936,True
153,0.01,0.5916442185640335,0.006944441456351572,0.5792848140001297,0.6023728102445602,False,0.012102912,0.5915560752153397,0.007359699830385409,0.5772735968232154,0.6038857027888298,False,0.8262474,1.0001608312129975,0.002783242400461668,0.9962129518389702,1.0049640953540802,False
55,0.5123542,0.5730048239231109,0.005619175884481015,0.5639072522521019,0.5811771556735039,False,0.5130407,0.5739292472600936,0.0068071123557677075,0.5592797368764877,0.5817333668470382,False,0.9986619,0.9984354138374328,0.007189657640121705,0.9860553339123725,1.011291465163231,True
155,0.012873792,0.5754237443208694,0.005469679772957399,0.5660095989704133,0.583110012114048,False,0.01,0.5762159556150437,0.006685493301906174,0.5618039697408677,0.5842075422406197,False,1.2873793,0.9986650824546814,0.006246656932115255,0.9879977375268936,1.0100825607776642,False
278,0.5045149,0.5666878521442413,0.006619196472005494,0.5552987173199654,0.5764052122831345,False,0.50757265,0.567986199259758,0.007493411503782489,0.5524061486124993,0.5768475323915482,False,0.9939757,0.9977775692939759,0.009739388471408802,0.980542479455471,1.0142700225114822,True
0,0.50673187,0.6703363627195358,0.019571061347972832,0.6361604019999504,0.7023552671074867,False,0.51119673,0.6673611402511597,0.01803905456123247,0.639788518846035,0.6970973193645478,False,0.99126583,1.0045949339866638,0.020372013141773466,0.9686760812997818,1.0381558507680893,True
231,0.8300668,0.8361776739358902,0.002363523366572567,0.8308201283216476,0.8380100294947624,False,0.83730376,0.8359398275613785,0.002170944734419934,0.8307342395186424,0.8379073068499565,True,0.99135685,1.0002870470285417,0.002564782627886719,0.9956189289689064,1.0049685776233672,False
335,0.51069176,0.5674581319093704,0.006613725982788681,0.5559385359287262,0.5766810208559037,False,0.5000693,0.568738442659378,0.007486972845368909,0.5530329957604408,0.5773338824510574,False,1.0212419,0.9978078544139862,0.009256389926554105,0.9813009962439537,1.0134296715259552,False
101,0.7598202,0.5735113203525544,0.005551401266932373,0.56411102861166,0.5813855320215225,False,0.77120316,0.5743964403867722,0.006810084658333781,0.5595952942967415,0.582124337553978,False,0.98524004,0.9985051244497299,0.007014712843008602,0.9865031987428665,1.0110319286584855,False
9,0.5080647,0.5666202008724213,0.006642875924754905,0.5551439821720123,0.5762276351451874,False,0.509318,0.5679286509752274,0.007516618857087561,0.5522795796394349,0.5767585098743438,False,0.9975392,0.9977595716714859,0.009734896309845477,0.9805070698261261,1.0142040580511094,True
180,0.5064461,0.5665718913078308,0.006679787607429115,0.5549744561314582,0.5763609260320663,False,0.50420576,0.5678850889205933,0.007524417086817567,0.5523083940148353,0.5768178567290306,False,1.0044433,0.9977507442235947,0.009765700745773384,0.9804393902420998,1.0143076241016389,True
72,0.74994856,0.7759874522686004,0.02240794631042882,0.7369279190897942,0.8073639646172523,True,0.7531621,0.7730037242174148,0.02065496211345803,0.7403286680579185,0.8059417873620986,True,0.99573326,1.0041464209556579,0.02707084257891876,0.9553474426269531,1.0508375465869904,True
237,0.8355161,0.8379853725433349,0.00024194276449028004,0.8373999401926995,0.838112334907055,False,0.83622026,0.8378900319337845,0.00021253238113410765,0.8373208954930306,0.8380212426185608,False,0.9991579,1.0001138031482697,0.00021285358790589296,0.9997625708580017,1.0005229771137238,False
255,0.49970886,0.6081551671028137,0.009677849919748826,0.5897421285510063,0.6235973000526428,False,0.5101666,0.6073183327913284,0.00928864767704969,0.591227476298809,0.6241043001413346,False,0.97950137,1.0013854861259461,0.005985160789876821,0.991487504541874,1.0105321615934373,False
137,0.83306634,0.7842268019914627,0.021410485564690697,0.746300445497036,0.8134507670998573,False,0.83667654,0.7814240753650665,0.019731900835472334,0.7492262348532677,0.8122576370835304,False,0.9956851,1.0038481295108794,0.02581529106040147,0.9573558449745179,1.0485906720161438,True
225,0.83001876,0.7794506549835205,0.022024641022650372,0.7408053562045097,0.8099726438522339,False,0.83731353,0.7765374064445496,0.020301695455030945,0.7439957544207573,0.8086523756384849,False,0.9912879,1.0040284603834153,0.026589512956700638,0.9561115622520446,1.04998340010643,True
